Language1,Language2,SourceImage,FuzzyScore
un,één,frans.jpg,100
deux,twee,frans.jpg,100
trois,drie,frans.jpg,100
quatre,vier,frans.jpg,100
cing,vijf,frans.jpg,100
six,zes,frans.jpg,100
sept,zeven,frans.jpg,100
huit,acht,frans.jpg,100
neuf,negen,frans.jpg,100
dix,tien,frans.jpg,100
lundi,maandag,frans.jpg,100
mardi,dinsdag,frans.jpg,100
mercredi,woensdag,frans.jpg,100
onze,elf,frans.jpg,100
douze,twaalf,frans.jpg,100
treize,dertien,frans.jpg,100
quatorze,veertien,frans.jpg,100
quinze,vijftien,frans.jpg,100
seize,zestien,frans.jpg,100
dix-sept,zeventien,frans.jpg,100
dix-huit,achttien,frans.jpg,100
dix-neuf,negentien,frans.jpg,100
vingt,twintig,frans.jpg,100
les devoirs,het huiswerk,frans.jpg,100
le garcon,de jongen,frans.jpg,100
lafille,het meisje,frans.jpg,100
la page,de bladzijde,frans.jpg,100
